Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Engineering Design of Aquaponics Systems","This review introduces notation and algorithms to standardize critical values in aquaponics, aiming to improve design criteria, operational parameters, and accelerate scientific development for commercial applications.","J. Colt, A. Schuur, D. Weaver, K. Semmens",2021,46,"Abstract Aquaponics is the integration of aquaculture and hydroponics where nutrients released by growing fish are utilized by plants grown in a soilless culture, often in a controlled environment. Potential advantages of aquaponics include improved sustainability, reduced resource consumption, and fewer environmental impacts compared to conventional aquaculture. Based on a 2014 survey, it was found that most respondents were practicing aquaponics as a hobby. Other groups of respondents were educators, non-profit organizations that operate aquaponic systems, commercial operators, and consultants that sell goods, material, and services. Although many proponents cite the opportunity to create a commercially viable food production system few (if any) ventures have demonstrated sustainable financial outcomes. In general, much of the peer-reviewed aquaponic publications and popular literature, and despite the efforts of some investigators, lacks a methodical scientific basis for describing the essential mechanics, relationships, and culture methods within aquaponic systems. Many systems evolved from small-scale experimental facilities devised by trial and error methods and were implemented with locally limited appropriate species, limited finances, and distorted market situations. Many of the published aquaponic experiments are based on small systems, short growth trials, and weak experimental design. The predominant system design approach is based on a relatively small number of experiments. This review introduces notation and algorithms that are intended to standardize the numerous critical values essential in aquaponics for purposes of determining design criteria and operational parameters including flows, the concentration of water quality constituents, metabolite production, and productivity of plant and animal segments in an aquaponic systems. The objective of this systematic approach is to employ scientific methods that provide research results that can be replicated, challenged, and improved. This methodology is expected to facilitate more rapid development of scientific information, productive systems, and rational economic applications. This approach is crucial for commercial applications where production cost, product value, and investment returns are of critical importance for practitioners that envision investment in new ventures. For hobbyists and educators, economic issues may not be as important as the self-sufficiency and natural synergism aspects, personal satisfaction, and the learning experience that result from existing state-of-the-art of aquaponic practices. These outcomes remain for all and a clearer understanding of smaller personal systems is likely to be enhanced.","literature review","Reviews in Fisheries Science & Aquaculture","1","10.1080/23308249.2021.1886240","https://consensus.app/papers/engineering-design-of-aquaponics-systems-colt-schuur/d0895de4156d53d58834560ad763ba92/"
"Making Aquaponics a Business: A Framework","This paper proposes a framework for evaluating the economic feasibility of commercial aquaponics systems, based on revenues, costs, and investments, within its operations, market, and environment.","Lorena Silva Araújo, K. Keesman, Simon Goddek",2021,5,"Commercial aquaponics systems remain a challenge independent of the country, fish, plant species, or system design type. Most aquaponics systems are made by hobbyists, with aquaponics not being the main source of income. As such, scholars and practitioners have long debated the real profitability of aquaponics systems. With the growth of the aquaponics industry and commercial businesses, sustainable economic viability is necessary. Recently, considerable literature has been published around the theme of aquaponics systems design but there is a gap in the literature regarding the business aspect of this. Moreover, only by acquiring the enterprise knowledge of planning a business case, obtaining funds, and running and maintaining a business will this industry be able to grow. This paper intends to create a directory of possible considerations to plan for a viable commercial aquaponics system by uniting already established business frameworks and adapting them to the aquaponics industry. This framework proposes a guide to evaluate the economic feasibility of the enterprise depending on the revenues, costs and investments needed for the chosen system within its operations, market, and environment.","theoretical, modeling, or simulation study","Water","1","10.3390/w13212978","https://consensus.app/papers/making-aquaponics-a-business-a-framework-ara%C3%BAjo-keesman/44859d6a59d85cf8a78be9ae8858f793/"
"Economic Analysis and Improvement Opportunities of African Catfish (Clarias gariepinus) Aquaculture in Northern Germany","African catfish aquaculture in Northern Germany can be economically profitable through altered sales prices, feed costs, and retaining a larger part of the fishery value chain within the farm.","J. Pasch, H. Palm",2021,39,"A farmland based African Catfish recirculation aquaculture system with a production volume (PV) of 300 m3 was modelled under realistic market conditions in order to analyse the impact of price fluctuations on profitability. As a monoculture recirculating aquaculture system (RAS) for whole fish and the wholesaler’s market, the model northern German catfish aquaculture is currently gainless, but the production is sufficient to cover all costs. The most decisive economic parameter is the low selling price (2.20 EUR/kg whole fish), which affects the returns by ±70,463 EUR/year for every ten percent (0.22 EUR) price change. Among the variable costs, feed has by far the largest impact with a share of 61.4% (42.1% of total costs). Based on the initial model every ten percent price variation of this variable input factor changes the returns by ±29,691 EUR/year, followed by energy (±5913 EUR/year), fingerlings (±4804 EUR/year), wages (±3972 EUR/year) and water (±2464 EUR/year). Larger system sizes (600 m3 PV) significantly save costs due to economies of scale and achieve returns of 175,240 EUR/year and an ROI of 11.45%. Increasing max. stocking density from 450 kg/m3 to 550 kg/m3 improves returns and ROI (40,379 EUR/year; 4.40%), but also involves higher production risks. An own fingerling production with a production of 300% above the own requirements improves returns and ROI (39,871 EUR/year; 3.57%) and leads, above all, to independence from foreign suppliers. Aquaponic integrations can generate profits, but are associated with high investment costs and the challenges of entering a new business sector. Product diversification into fillet (50% of the production) and smoked fillet (30%) generates lucrative returns and ROI (212,198 EUR/year; 20.10%). Profitability is further increased by direct marketing in the form of a farm store and the establishment of a regional “producer organisation”. Our results demonstrate that under current market conditions northern German catfish aquaculture covers all costs, mainly increasing profitability through altered sales prices and feed costs. Retaining a larger part of the fishery value chain within the farm through additional benefits, further processing and product diversification improves profitability, making African catfish RAS a sustainable and economically profitable aquaculture business in Germany.","theoretical, modeling, or simulation study","Sustainability","1","10.3390/su132413569","https://consensus.app/papers/economic-analysis-and-improvement-opportunities-of-pasch-palm/a632f47ba67e56debf94d3d9f4c9ef88/"
"ANALYSIS OF THE FEASIBILITY STUDY OF CATFISH BREEDING BUSINESS IN SIPANGE GODANG VILLAGE","The catfish hatchery business in Sipange Godang Village is feasible due to its legal, market, and financial aspects, with potential for growth and Sharia compliance.","Hesti Rauli, Sry Lestari, M. Arif",2026,0,"The catfish hatchery business has quite good market opportunities due to the increasing public demand for catfish as a widely consumed food source. This study aims to analyze the feasibility of the catfish hatchery business in Sipange Godang Village in terms of non-financial aspects, financial aspects, and sharia principles. This study uses a descriptive research type with a qualitative approach. The research informants were three catfish hatchery entrepreneurs selected using a saturated sampling technique. Data were collected through observation, interviews, and documentation, then analyzed using the Miles and Huberman model. The business feasibility analysis was carried out based on legal, market and marketing, technical, management, socio-economic, environmental, and financial aspects using the Payback Period (PP), Break Even Point (BEP), and Revenue Cost Ratio (R/C Ratio) methods. The results of the study indicate that the catfish hatchery business in Sipange Godang Village is feasible to be run and developed. Viewed from the non-financial aspect, the business has fulfilled the legal, market and marketing, technical, management, socio-economic, and environmental aspects, although strengthening the business legality is still needed. From a financial perspective, the business is able to recoup its capital, sales are above the break-even point, and its R/C ratio is greater than 1, making it financially viable. Based on Sharia principles, the business is run honestly and free from riba, maysir, and gharar.","case study","Multidisciplinary Indonesian Center Journal (MICJO)","","10.62567/micjo.v3i3.2797","https://consensus.app/papers/analysis-of-the-feasibility-study-of-catfish-breeding-rauli-lestari/360e71a3f3105dc88f40e6d366ef8ca3/"
"Economics of Small‐scale Commercial Aquaponics in Hawai‘i","Small-scale commercial aquaponics in Hawaii is economically feasible, but returns are less optimistic than previously reported, and investment cannot support a 11% decrease in annual sales revenue.","Kanae Tokunaga, C. Tamaru, H. Ako, P. Leung",2015,124,"Aquaponics, the symbiotic integration of aquaculture and hydroponics, has been touted as a sustainable food production technology. While there is anecdotal evidence, there are only a few studies on the economics of commercial aquaponics. In this study, we collect economic and production information from three aquaponic farms to investigate the economic feasibility of an aquaponics industry in Hawaii. Based on the information supplied by the farms, we develop a model case to analyze (i) profitability, (ii) return on investment, and (iii) input requirements for small-scale commercial aquaponics operation in Hawaii. We find that small-scale commercial aquaponics is economically feasible, but our findings are not as optimistic as those previously published. The modified internal rate of return of the model farm is 7.36%. We conduct sensitivity and decision reversal analysis to investigate how output prices and operational cost parameters affect the overall economic outcome. We find that economic outcome is very sensitive to output price. Investment in commercial aquaponics cannot be supported if annual sales revenue falls by 11%. We conclude by discussing challenges and risks faced by commercial aquaponic farms and the potential economic gain from organic certification and renewable energy implementation.","theoretical, modeling, or simulation study","Journal of The World Aquaculture Society","1","10.1111/jwas.12173","https://consensus.app/papers/economics-of-small%E2%80%90scale-commercial-aquaponics-in-tokunaga-tamaru/f8150de75b505d789907b8b24c956ad6/"
"The Current Situation, Problems and Proposed Solutions of Aquarium Businesses in Erzurum Province","Aquarium businesses in Erzurum face high feed and material costs, high rent and electricity expenses, and low customer demand, requiring financial and educational support from public institutions and universities for sector development.","Ebru Yılmaz, F. B. Harmantepe, Saim Pala",2025,1,"This research was conducted to reveal the general situation of aquarium businesses operating in Erzurum, identify current problems and propose solutions to these issues. It was observed that the 10 active aquarium businesses in the province were concentrated in three central districts. A questionnaire, consisting of both open-ended and closed-ended questions tailored to the research objectives, was administered to these 10 businesses through face-to-face interviews. The research findings indicated that 60% of the aquarium businesses were tenants, all personnel were male, the owners were older and more experienced than the employees, and 70% of them were university graduates. It was determined that all operators sourced their fish domestically, made retail sales, experienced an increase in sales during the winter months, sold a total of 9 fish species, with Japanese (Carassius auratus) and guppy (Poecilia reticulata) fish being the most sold, and that the most common disease observed was white spot disease, affecting 80% of the fish. The majority of operators (60%) stated that aquarium cooperatives should be established. Among the most significant problems identified were high feed and material costs, high rent and electricity expenses, and low customer demand. In light of the data obtained, it has been concluded that organizing activities to increase interest in the aquarium sector nationwide and providing financial and educational support to entrepreneurs by public institutions and universities would be beneficial for the development of the sector and the resolution of existing problems.","other","Research in Agricultural Sciences","","10.17097/agricultureatauni.1603961","https://consensus.app/papers/the-current-situation-problems-and-proposed-solutions-of-y%C4%B1lmaz-harmantepe/997ebc38736157dc8b7c1db5b8bdbf69/"
"Economic and financial risks of commercial tilapia cage culture in a neotropical reservoir","Larger tilapia cage farms have lower financial and economic risks, with a 36% probability of low risk and a shorter payback period.","Maicon da Rocha Brande, David Ferreira Lopes Santos, N. S. Fialho, D. C. Proença, Pablo Gallardo Ojeda, Flavia C. M. Godói, R. Roubach, G. W. Bueno",2023,10,"","theoretical, modeling, or simulation study","Heliyon","1","10.1016/j.heliyon.2023.e16336","https://consensus.app/papers/economic-and-financial-risks-of-commercial-tilapia-cage-brande-santos/c7104e278bb6566591cee8ee072fae5f/"
"Economic viability of a small scale low-cost aquaponic system in South Africa","Small-scale aquaponic systems in South Africa are not economically viable with conventional practices, but can be made viable with optimized plant yield techniques and a 30% to 70% fish-to-plant ratio.","A. Babatunde, R. Deborah, Moodley Gan, Taylor Simon",2021,22,"ABSTRACT Aquaponics provides a sustainable means of converting aquaculture effluent to nutrients for growing plant. This unconventional, but synergistic system of food production has been documented to be economically feasible and sustainable, particularly in areas with limited land and water resources availability. This study assessed the economic feasibility of a low-cost small-scale aquaponics system using production output and economic data. Price trends, cost, revenue, return on investment (ROI), net present value (NPV) using a 10-year period, internal rate of return (IRR) and profitability analyses were modeled to determine the financial performance of the aquaponic system. The result indicated that this small-scale aquaponic operation is not economically viable (Gross profit: 42%, net profit: – 22%, ROI: – 8%, NPV: R81,466, IRR: 13% and Profitability Index: 0.35) by adopting conventional aquaponics cultural practice (fish: plant revenue model 59% to 41%) due to higher operating cost of producing a kg of fish (R55) vis-à-vis the market price, compared to plant production. A revenue model of 42% to 58% fish-to-plant ratio was marginally feasible (Gross profit: 59%, net profit: 13%, ROI: 7%, NPV: R92,445, IRR: 19% and Profitability Index: 0.50). A minimum revenue model of 30% to 70% fish-to-plant ratio by adopting optimized plant yield cultural techniques to attain economies of scale and viability, is suggested. This study serves as a model for promoting viable and sustainable unconventional food production system to attain food security and local economic development in South Africa.","theoretical, modeling, or simulation study","Journal of Applied Aquaculture","2","10.1080/10454438.2021.1958729","https://consensus.app/papers/economic-viability-of-a-small-scale-lowcost-aquaponic-babatunde-deborah/2da4ae1f3fe25068a63686e551a7a967/"
"FEASIBILITY STUDY ON THE PROMOTION OR SCALING UP OF THE ""SABOU MANIAN"" SMOKEHOUSE","The improved ""Sabou Mania"" smokehouse is technically, organizationally, and financially feasible, with a favorable payback period and high profitability.","F. Guindo, B. Dembélé, Sékou Sala Guindo, Mamadou Soufountera, Abdoulaye Aziz Kosibo, B. Ouattara, Sansan Kambire, Sadio Togola",2026,0,"This study analyzes the technical, organizational, and financial feasibility of the improved
smokehouse (Sabou Manian) developed by the STDF/PG/611 project (MTF/MLI/063/STF). It
focused on three regions: Koulikoro, Ségou, and Mopti, as well as the Bamako district. Four sites
were identified where the owners of Sabou Manian smokehouses, developed by the Food
Technology Laboratory (LTA), reside. These sites are located in the regions of Koulikoro,
Ségou, Mopti, and Bamako. The activity involved all nine beneficiaries of the Sabou Manian
smokehouse. Qualitative and quantitative approaches were used to collect data through semistructured interviews (SSI) conducted via telephone calls and in person with the Sabou Manian
smokehouse users. Excel software was used to enter the collected data, which was subsequently
analyzed using the same software as well as SPSS 21.
The average purchase price of fresh fish is 1,400 CFA francs/kg for freshwater fish and 1,875
CFA francs/kg for farmed fish. Smoked fish from the improved smokehouse cost an average of
7,250 CFA francs/kg, approximately double the price of smoked fish from traditional
smokehouses (3,437 CFA francs/kg).
In conclusion, we find that the financial results obtained are profitable and very satisfactory. The
internal rate of return (IRR) of 81.6% over 5 years and 151.50% over 10 years indicate that the
project's profitability is highly attractive.
Furthermore, the funds invested in the use of this ""Sabou Mania"" oven will be recouped in the
first year, a very favorable payback period.","mixed methods study","International Journal of Agriculture, Environment and Bioresearch","","10.35410/ijaeb.2026.1035","https://consensus.app/papers/feasibility-study-on-the-promotion-or-scaling-up-of-the-guindo-demb%C3%A9l%C3%A9/1d6ee714a9dc50bcbf8a7039609584f8/"
"Feasibility Study for Establishing a Restaurant in Jeddah","A gourmet restaurant specializing in signature brioche bread in Jeddah can be successful with a thorough feasibility study, considering market, technical, social, and environmental factors.","S. El-Quliti, A. Elalem",2018,1,"The primary purpose of this paper is to express an in-depth and comprehensive feasibility study for a gourmet restaurant in Jeddah since a feasibility study is crucial to the success of any business project. This study targets to explore the success of establishing a gourmet restaurant in Jeddah and to answer the question whether this business idea will continue successfully. We propose that the gourmet restaurant will comprise a signature store made brioche bread, as a novel idea. The business type needed, data regarding the gourmet restaurant industry and the history and development of brioche bread are basic information required. The feasibility study contains six categories: business strategy, market feasibility study, technical feasibility study, location and site selection study, social and an environmental feasibility study, and economic feasibility study. The market study addresses the requisite information on demand and supply, as well as the detailed information about competitors. The technical study contains the necessary machinery, production capacity, needed raw material and inputs, computer system(s) and human resources plans. Accordingly and based on quantitative selection criteria, the most suitable site was chosen. This study also identifies the impact on society and environment. The economic feasibility study recognizes the financial resources needed to channelize and operate the business and calculates all the economic performance indicators for the project.","","American Scientific Research Journal for Engineering, Technology, and Sciences","","","https://consensus.app/papers/feasibility-study-for-establishing-a-restaurant-in-jeddah-el-quliti-elalem/79b2f2e9fea85087a750d384f4bb78e3/"
